"","Country","Export","Year","import","Net","Region","shape"
"3088","China",1937606629,"1961",1746689414,190917215,"East Asia & Pacific","Target"
"3105","Cameroon",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3122","Colombia",589865537.3,"1961",627934716.4,-38069179.1,"Latin America & Caribbean","Other"
"3139","Comoros",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3156","Costa Rica",102289846.3,"1961",122861638.4,-20571792.1,"Latin America & Caribbean","Other"
"3173","Cuba",0,"1961",0,0,"Latin America & Caribbean","Other"
"3190","Cyprus",0,"1961",0,0,"Europe & Central Asia","Other"
"3207","Czech Republic",0,"1961",0,0,"Europe & Central Asia","Other"
"3224","Germany",0,"1961",0,0,"Europe & Central Asia","Other"
"3241","Djibouti",0,"1961",0,0,"Middle East & North Africa","Other"
"3258","Dominica",0,"1961",0,0,"Latin America & Caribbean","Other"
"3260","Denmark",2079942082,"1961",2242566803,-162624721,"Europe & Central Asia","Other"
"3277","Dominican Republic",152100000,"1961",106900000,45200000,"Latin America & Caribbean","Other"
"3294","Algeria",1125951671,"1961",1643566052,-517614381,"Middle East & North Africa","Other"
"3311","Ecuador",157101028.7,"1961",178045025.4,-20943996.7,"Latin America & Caribbean","Other"
"3328","Eritrea",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3345","Spain",1102919716,"1961",1189957607,-87037891,"Europe & Central Asia","Other"
"3362","Estonia",0,"1961",0,0,"Europe & Central Asia","Other"
"3379","Ethiopia",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3396","Finland",1184896765,"1961",1266154794,-81258029,"Europe & Central Asia","Other"
"3413","Fiji",35889686.44,"1961",47726986.53,-11837300.09,"East Asia & Pacific","Other"
"3430","France",9513310197,"1961",8433174750,1080135447,"Europe & Central Asia","Other"
"3447","Gabon",52322628.98,"1961",53078875.5,-756246.520000003,"Sub-Saharan Africa","Other"
"3464","Georgia",0,"1961",0,0,"Europe & Central Asia","Other"
"3480","Ghana",340376178.7,"1961",474845780.2,-134469601.5,"Sub-Saharan Africa","Other"
"3497","Guinea",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3514","Guinea-Bissau",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3531","Equatorial Guinea",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3548","Greece",434113891.9,"1961",795769616.4,-361655724.5,"Europe & Central Asia","Other"
"3565","Grenada",0,"1961",0,0,"Latin America & Caribbean","Other"
"3582","Guatemala",128700000,"1961",145300000,-16600000,"Latin America & Caribbean","Other"
"3599","Guyana",96774193.55,"1961",98465846.12,-1691652.57000001,"Latin America & Caribbean","Other"
"3616","Honduras",79500000,"1961",78100000,1400000,"Latin America & Caribbean","Other"
"3633","Croatia",0,"1961",0,0,"Europe & Central Asia","Other"
"3650","Haiti",0,"1961",0,0,"Latin America & Caribbean","Other"
"3667","Hungary",0,"1961",0,0,"Europe & Central Asia","Other"
"3684","Indonesia",0,"1961",0,0,"East Asia & Pacific","Other"
"3701","India",1688401688,"1961",2337302337,-648900649,"South Asia","Target"
"3718","Ireland",670336524.2,"1961",786154041.5,-115817517.3,"Europe & Central Asia","Other"
"3735","Iraq",0,"1961",0,0,"Middle East & North Africa","Other"
"3751","Iceland",105112729.9,"1961",97194659.52,7918070.38000001,"Europe & Central Asia","Other"
"3768","Israel",3.62e+08,"1961",3.52e+08,1e+07,"Middle East & North Africa","Other"
"3785","Italy",5736466839,"1961",5768145481,-31678642,"Europe & Central Asia","Other"
"3802","Jamaica",249069438.6,"1961",261794764.1,-12725325.5,"Latin America & Caribbean","Other"
"3819","Jordan",0,"1961",0,0,"Middle East & North Africa","Other"
"3836","Japan",4964487441,"1961",5833316762,-868829321,"East Asia & Pacific","Other"
"3852","Kazakhstan",0,"1961",0,0,"Europe & Central Asia","Other"
"3869","Kenya",259433896,"1961",246847901.1,12585994.9,"Sub-Saharan Africa","Other"
"3886","Cambodia",82857142.86,"1961",1.2e+08,-37142857.14,"East Asia & Pacific","Other"
"3903","Kiribati",0,"1961",0,0,"East Asia & Pacific","Other"
"3908","Kuwait",0,"1961",0,0,"Middle East & North Africa","Other"
"3925","Lebanon",0,"1961",0,0,"Middle East & North Africa","Other"
"3942","Liberia",0,"1961",0,0,"Sub-Saharan Africa","Other"
"3959","Libya",0,"1961",0,0,"Middle East & North Africa","Other"
"3976","Sri Lanka",397732379.9,"1961",411422958.1,-13690578.2,"South Asia","Other"
"3993","Lesotho",4479910.402,"1961",16239675.21,-11759764.808,"Sub-Saharan Africa","Other"
"4010","Lithuania",0,"1961",0,0,"Europe & Central Asia","Other"
"4027","Luxembourg",626766230.1,"1961",529104739,97661491.1,"Europe & Central Asia","Other"
"4044","Latvia",0,"1961",0,0,"Europe & Central Asia","Other"
"4061","Morocco",440667938,"1961",501926687.1,-61258749.1,"Middle East & North Africa","Other"
"4078","Moldova",0,"1961",0,0,"Europe & Central Asia","Other"
"4095","Madagascar",102110849.3,"1961",136359934.7,-34249085.4,"Sub-Saharan Africa","Other"
"4112","Maldives",0,"1961",0,0,"South Asia","Other"
"4129","Mexico",1191208000,"1961",1503120000,-311912000,"Latin America & Caribbean","Other"
"4146","Marshall Islands",0,"1961",0,0,"East Asia & Pacific","Other"
"4148","Mali",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4165","Malta",0,"1961",0,0,"Middle East & North Africa","Other"
"4181","Myanmar",0,"1961",0,0,"East Asia & Pacific","Other"
"4198","Montenegro",0,"1961",0,0,"Europe & Central Asia","Other"
"4215","Mongolia",0,"1961",0,0,"East Asia & Pacific","Other"
"4232","Mozambique",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4249","Mauritania",15448148.1,"1961",29136912.85,-13688764.75,"Sub-Saharan Africa","Other"
"4266","Mauritius",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4283","Malawi",35979280.41,"1961",63138737.23,-27159456.82,"Sub-Saharan Africa","Other"
"4300","Malaysia",1116792728,"1961",990528060.9,126264667.1,"East Asia & Pacific","Other"
"4317","Namibia",0,"1961",0,0,"Sub-Saharan Africa","Other"
"4334","Niger",39451761.21,"1961",47147122.59,-7695361.38,"Sub-Saharan Africa","Other"
"4351","Nigeria",410318073.6,"1961",728148397,-317830323.4,"Sub-Saharan Africa","Other"
"4368","Nicaragua",56287344.71,"1961",59056821.33,-2769476.62,"Latin America & Caribbean","Other"
"4385","Netherlands",6289121521,"1961",6268747831,20373690,"Europe & Central Asia","Other"
"4402","Norway",1968595448,"1961",2091459665,-122864217,"Europe & Central Asia","Other"
"4419","Nepal",0,"1961",0,0,"South Asia","Other"
"4436","New Zealand",0,"1961",0,0,"East Asia & Pacific","Other"
"4453","Oman",0,"1961",0,0,"Middle East & North Africa","Other"
"4470","Pakistan",0,"1961",0,0,"South Asia","Other"
"4487","Panama",282659200,"1961",321486400,-38827200,"Latin America & Caribbean","Other"
"4504","Peru",603360551,"1961",643728455.5,-40367904.5,"Latin America & Caribbean","Other"
"4521","Philippines",913828362.6,"1961",1017781898,-103953535.4,"East Asia & Pacific","Other"
"4538","Palau",0,"1961",0,0,"East Asia & Pacific","Other"
"4541","Papua New Guinea",39424005.64,"1961",68880009.86,-29456004.22,"East Asia & Pacific","Other"
"4558","Poland",0,"1961",0,0,"Europe & Central Asia","Other"
"4575","Portugal",460401266.4,"1961",771698530.9,-311297264.5,"Europe & Central Asia","Other"
"4592","Paraguay",0,"1961",0,0,"Latin America & Caribbean","Other"
"4609","Qatar",0,"1961",0,0,"Middle East & North Africa","Other"
"4626","Romania",0,"1961",0,0,"Europe & Central Asia","Other"
