"","Country","Region","Year","GDP per Capita","HDI"
"187","Colombia","Latin America & Caribbean",1991,1408.365423,0.595
"188","Comoros","Sub-Saharan Africa",1991,1000.558651,NA
"189","CostaRica","Latin America & Caribbean",1991,2257.4912,0.661
"190","Croatia","Europe & Central Asia",1991,NA,0.665
"191","Cuba","Latin America & Caribbean",1991,2280.335931,0.67
"192","Cyprus","Europe & Central Asia",1991,9696.099593,0.735
"193","Denmark","Europe & Central Asia",1991,27011.38589,0.804
"194","Djibouti","Middle East & North Africa",1991,762.0113217,NA
"195","Dominica","Latin America & Caribbean",1991,3102.160049,NA
"196","DominicanRepublic","Latin America & Caribbean",1991,1328.804824,0.603
"197","Ecuador","Latin America & Caribbean",1991,1623.989246,0.646
"198","ElSalvador","Latin America & Caribbean",1991,986.0485479,0.534
"199","EquatorialGuinea","Sub-Saharan Africa",1991,251.7022043,NA
"200","Eritrea","Sub-Saharan Africa",1991,NA,NA
"201","Estonia","Europe & Central Asia",1991,NA,0.728
"202","Ethiopia","Sub-Saharan Africa",1991,270.2443935,NA
"203","Fiji","East Asia & Pacific",1991,1881.569901,0.651
"204","Finland","Europe & Central Asia",1991,25503.21521,0.787
"205","France","Europe & Central Asia",1991,21675.06425,0.788
"206","Gabon","Sub-Saharan Africa",1991,5523.198654,0.625
"207","Georgia","Europe & Central Asia",1991,1314.67067,NA
"208","Germany","Europe & Central Asia",1991,23269.3818,0.809
"209","Ghana","Sub-Saharan Africa",1991,438.6143193,0.46
"210","Greece","Europe & Central Asia",1991,10188.36978,0.763
"211","Grenada","Latin America & Caribbean",1991,3118.148432,NA
"212","Guatemala","Latin America & Caribbean",1991,991.8622727,0.483
"213","Guinea","Sub-Saharan Africa",1991,472.9737936,0.28
"214","Guinea-Bissau","Sub-Saharan Africa",1991,247.9382292,NA
"215","Guyana","Latin America & Caribbean",1991,468.276563,0.533
"216","Haiti","Latin America & Caribbean",1991,479.5461962,0.409
"217","Honduras","Latin America & Caribbean",1991,911.5123793,0.509
"218","Hungary","Europe & Central Asia",1991,3349.770406,0.701
"219","Iceland","Europe & Central Asia",1991,26405.91589,0.815
"220","India","South Asia",1991,304.153894,0.432
"221","Indonesia","East Asia & Pacific",1991,631.7004457,0.533
"222","Iraq","Middle East & North Africa",1991,NA,0.527
"223","Ireland","Europe & Central Asia",1991,14104.07869,0.767
"224","Israel","Middle East & North Africa",1991,13645.22534,0.8
"225","Italy","Europe & Central Asia",1991,21884.10437,0.774
"226","Jamaica","Latin America & Caribbean",1991,1666.013637,0.639
"227","Japan","East Asia & Pacific",1991,28925.04158,0.821
"228","Jordan","Middle East & North Africa",1991,1157.407168,0.627
"229","Kazakhstan","Europe & Central Asia",1991,1512.485066,0.684
"230","Kenya","Sub-Saharan Africa",1991,337.1221889,0.466
"231","Kiribati","East Asia & Pacific",1991,644.7108451,NA
"232","Kuwait","Middle East & North Africa",1991,5407.969783,0.673
